ticker,company_name,fiscal_year,report_period_end,total_assets,ppe_net,ppe_gross,accumulated_depreciation,servers_gross,servers_net,buildings_gross,buildings_net,construction_in_progress,intangible_assets_net,goodwill,revenue,net_income,operating_income,income_tax_expense,rd_expense,rd_capitalized,impairment_loss,depreciation,amortization,capex_ppe,finance_lease_payments,operating_cash_flow,server_useful_life,building_useful_life,land_gross,equipment_gross,equipment_net,servers_accumulated_depreciation,buildings_accumulated_depreciation,software_intangibles,patent_intangibles,cash_and_equivalents,total_liabilities,gross_profit,sg_and_a,diluted_eps,ppe_sales_proceeds,effective_tax_rate,employee_count,equipment_useful_life,software_amortization_years,goodwill_test_method,revenue_breakdown,revenue_geography,server_life_min_years,server_life_max_years,building_life_min_years,building_life_max_years,life_extended_current_period,life_extension_depreciation_reduction,server_depreciation_ratio,inventory_writedown,accelerated_dep_charges,restructuring_charges,depreciation_rate_ppe,depreciation_rate_total_assets,amortization_rate,intangible_ratio,goodwill_ratio,rd_intensity,capex_to_revenue,capex_to_ppe_net,asset_turnover,ppe_turnover,accumulated_depreciation_rate,net_ppe_rate,depreciation_coverage,capital_intensity,net_margin,cip_to_ppe,depreciation_growth_rate,revenue_growth_rate,capex_yoy_growth,D1,D2,D3,D4,D5,composite_score,risk_level
META,"Meta Platforms, Inc.",2023,2023-12-31,229623,96587,129721,33134,46838,,37961,,24269,788,20654,134902,39098,46751,8330,38483,0,2432,11178,161,27266,1058,57683,4-5,25-30,,,,,,,,,,,,14.87,221,0.176,67317,1-25,,annual,Family of Apps广告+Reality Labs,,4,5,25,30,0,,0.655,,,,0.1157,0.0487,0.0007,0.0934,0.0899,0.2853,0.2021,0.2823,0.5875,1.3967,0.2554,0.7446,0.2859,0.4206,0.2898,0.2513,0.2869,0.1569,-0.1325,4,4,4,4,4,4.0,高风险
NVDA,NVIDIA Corporation,2024,2024-01-28,65728,3914,7423,3509,,,,,189,1112,4430,60922,29760,32972,4058,8675,0,0,894,614,1069,,28090,4-5(2023-02由3年延长),up to 30,218,5200,,,,,,,,,,,,,,3-7(组装测试设备由5延至7),,annual(FY2024未减值),Data Center/Compute&Networking/Graphics,,4,5,,,1,135,,774,,,0.2284,0.0136,0.0093,0.0843,0.0674,0.1424,0.0175,0.2731,0.9269,15.5652,0.4727,0.5273,0.03,0.0595,0.4885,0.0483,0.0592,,,4,5,3,1,2,3.1,中高风险
AMD,"Advanced Micro Devices, Inc.",2023,2023-12-30,67885,1589,3376,1787,,,821,,209,21363,24262,22680,854,401,-346,5872,0,0,441,2811,546,,1667,,34-44,,,,,,,,,,,,,,,,2-15,,annual qualitative(FY2023通过),Data Center/Client/Gaming/Embedded,,,,34,44,0,,,,,,0.2775,0.0065,0.0414,0.6721,0.3574,0.2589,0.0241,0.3436,0.3341,14.2731,0.5293,0.4707,0.5164,0.0234,0.0377,0.1315,,,,3,2,3,1,3,2.4,中风险
GOOGL,Alphabet Inc.,2023,2023-12-31,402392,134345,201803,67458,80594,,74083,,35229,,29198,307394,73795,84293,11922,45427,0,0,11946,,32251,,101746,6(2023-01由4年延长),7-25,,,,,,,,,,,,,,,,,,annual,Google Services广告/Cloud/Other Bets,,6,6,7,25,1,3900,,,269,3933,0.0889,0.0297,,,0.0726,0.1478,0.1049,0.2401,0.7639,2.2881,0.3343,0.6657,0.1619,0.3339,0.2401,0.2622,-0.1135,,,5,5,4,3,4,4.25,高风险
MSFT,Microsoft Corporation,2024,2024-06-30,512163,135591,212012,76421,93780,,93943,,,27597,119220,245122,88136,109433,19651,29510,,0,15200,4800,44477,,118548,6(FY2023起由4年延长),5-15,8163,6532,,,,,,,,,,,,,,2-6(计算机设备),3(内部使用软件),"annual DCF(5月1日测试,FY2022-2024未减值)",Intelligent Cloud/Productivity/More Personal Computing,,6,6,5,15,0,,,,,0,0.1121,0.0297,0.0094,0.2867,0.2328,0.1204,0.1814,0.328,0.4786,1.8078,0.3605,0.6395,0.1725,0.2647,0.3596,,0.3818,,0.5824,5,4,3,4,5,4.2,高风险
ORCL,Oracle Corporation,2024,2024-05-31,140976,21536,34818,13282,20989,,,,5634,6890,62230,52961,10467,15353,1274,8915,,,3129,3010,6866,,18673,"5(FY2023 Q1由4年延长,本期无变更)",1-40,,,,,,,,,,,,,,,,1-5(计算机/网络/机器设备),,,,,5,5,1,40,0,,,,,404,0.1453,0.0222,0.0214,0.4903,0.4414,0.1683,0.1296,0.3188,0.3757,2.4592,0.3815,0.6185,0.2989,0.1528,0.1976,0.2616,0.2387,0.0602,-0.2104,4,4,3,3,4,3.6,中高风险
INTC,Intel Corporation,2023,2023-12-30,191572,96647,194657,98010,,,51182,,43442,4589,27591,54228,1675,93,-913,16046,,45,7847,1755,25750,96,11471,,10-25,,100033,,,,,,,,,,,,,,3-8(2023-01部分生产设备由5延至8),,annual quantitative(2022/2023未减值),CCG/DCAI/NEX/IFS(IDM代工),,,,10,25,1,4200,,,411,-62,0.0812,0.041,0.0092,0.168,0.144,0.2959,0.4748,0.2664,0.2831,0.5611,0.5035,0.4965,4.6848,0.5045,0.0309,0.4495,-0.2948,-0.14,0.0365,4,5,4,5,5,4.55,高风险
MU,"Micron Technology, Inc.",2023,2023-08-31,64254,37928,87585,49657,,,,,2464,404,1150,15540,-5833,-5745,177,3114,,112,7670,86,7676,109,1559,,10-30,,65555,,,,,,,,-1416,,,,,,7(生产设备;其他≤7),3-5,"annual(Q4定量测试,FY2023 SBU全额减值101)",DRAM/NAND存储,,,,10,30,0,,,1831,,171,0.2022,0.1194,0.0013,0.0242,0.0179,0.2004,0.494,0.2024,0.2419,0.4097,0.567,0.433,-1.3149,0.5903,-0.3754,0.065,0.091,-0.4948,-0.3639,4,3,5,5,4,4.2,高风险
CRM,"Salesforce, Inc.",2024,2024-01-31,99823,3689,6841,3152,4209,,490,,,5278,48620,34857,4136,5011,814,4906,,,1100,1869,736,629,10234,3-5(计算机/设备/软件),10-40,293,,,,,,,,,,,,,,,5(家具);租赁改良≤10,3-5(随PPE软件类),annual Q4(FY2024未减值),,,3,5,10,40,0,,,,,988,0.2982,0.011,0.0187,0.5399,0.4871,0.1407,0.0211,0.1995,0.3492,9.4489,0.4608,0.5392,0.266,0.037,0.1187,,0.2182,,,3,3,2,1,1,2.1,中风险
TSLA,"Tesla, Inc.",2023,2023-12-31,106618,29725,41782,12057,3799,,,,5791,178,253,96773,14974,8891,-5001,3969,,0,3330,,8898,464,13256,3-10(计算机设备与软件),15-30,,16372,,,,,,,,,,,,,,3-15(机器/设备/车辆/家具;tooling 4-7),3-5(内部使用软件),annual(2021-2023未减值),汽车/能源生成与存储/服务及其他,,3,10,15,30,0,,,,,0,0.112,0.0312,,0.004,0.0024,0.041,0.0919,0.2993,0.9077,3.2556,0.2886,0.7114,0.3745,0.2788,0.1547,0.1948,0.376,,0.2427,4,3,2,3,4,3.2,中高风险
